WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,ySnDE,WlYyy 4,WlYyy 5,cctrW 2,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7
5,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Private Beijing Trips,https://www.tripadvisor.com/AttractionProductReview-g294212-d11456036-Private_City_Tour_of_Beijing_including_Lunch-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11456036-Private_City_Tour_of_Beijing_including_Lunch-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/98/b9/70/caption.jpg?w=500&h=400&s=1,Private City Tour of Beijing including Lunch,236.,https://www.tripadvisor.com/Attraction_Review-g294212-d2454302-Reviews-Private_Beijing_Trips-Beijing.html,Full-day Tours,8–9 hours,"This private Beijing city trip will bring you to the most famous attractions in the city: Summer Palace, Forbidden City …",Free cancellation,,,from,$165.00,per adult,More info
9,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Mark’s Guide & Driver Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d15525794-Beijing_Layover_for_The_Best_3_Attractions_Private_Tour_with_Dumpling_Lunch-Beijin.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d15525794-Beijing_Layover_for_The_Best_3_Attractions_Private_Tour_with_Dumpling_Lunch-Beijin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7d/c7/7b/caption.jpg?w=500&h=400&s=1,Beijing Layover for The Best 3 Attractions Private Tour with Dumpling Lunch,237.,https://www.tripadvisor.com/Attraction_Review-g294212-d2518896-Reviews-Mark_s_Guide_Driver_Service-Beijing.html,Bus Tours,7–9 hours,"to visit 3 of Beijing top tour Attractions in your layover. 

UNESCO-listed Great Wall of China at Mutianyu and the Forbidden…",Free cancellation,,,from,$179.00,per adult,More info
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Discover Beijing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11483961-Beijing_Private_Tour_to_Beijing_Panda_House_and_Mutianyu_Great_Wall-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11483961-Beijing_Private_Tour_to_Beijing_Panda_House_and_Mutianyu_Great_Wall-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/34/bf/caption.jpg?w=500&h=400&s=1,Beijing Private Tour to Beijing Panda House and Mutianyu Great Wall,238.,https://www.tripadvisor.com/Attraction_Review-g294212-d3680609-Reviews-Discover_Beijing_Tours-Beijing.html,Full-day Tours,8–9 hours,"With the combination of the Great Wall at Mutianyu section and checking out the cute pandas in Panda House, this tour is…",Free cancellation,,,from,$183.47,per adult,More info
2,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Driver Guide Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d11484555-Self_Guided_Private_Tour_Jiankou_Great_Wall_from_Beijing-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11484555-Self_Guided_Private_Tour_Jiankou_Great_Wall_from_Beijing-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/cf/44/caption.jpg?w=500&h=400&s=1,Self-Guided Private Tour: Jiankou Great Wall from Beijing,239.,https://www.tripadvisor.com/Attraction_Review-g294212-d3454760-Reviews-Beijing_Driver_Guide_Service-Beijing.html,Full-day Tours,8–9 hours,Have a private car with a reliable driver to Great Wall at Jiankou. Explore Great Wall in a hassle-free and convenient way…,Free cancellation,,,from,$90.00,per adult,More info
6,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Miles'Car Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d13204168-One_Day_Mutianyu_Great_Wall_and_Summer_Palace_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d13204168-One_Day_Mutianyu_Great_Wall_and_Summer_Palace_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/81/c5/caption.jpg?w=500&h=400&s=1,One Day Mutianyu Great Wall and Summer Palace Tour,240.,https://www.tripadvisor.com/Attraction_Review-g294212-d9608875-Reviews-Miles_Car_Service-Beijing.html,Full-day Tours,6+ hours,"Vehicle: 5 sests Mid-Size Car and 7 seats Van (VW Passat/Toyota Camry,Honda Accord ,Toyota Van and Buick Van) 

Driver: …",Free cancellation,,,from,$87.19,per adult,More info
9,,,,,,,,,1,8,,10,,,,,,
"3,000+ places sorted by traveler favorites","Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=b1F0Xy9BdHRyYWN0aW9ucy1nMjk0MjEyLUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLUJlaWppbmcuaHRtbF93dko%3D,,,,,,,,,,,,,,,
6,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Discover Beijing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11460698-Private_Round_Trip_transfer_Beijing_hotels_to_Mutianyu_Great_Wall-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11460698-Private_Round_Trip_transfer_Beijing_hotels_to_Mutianyu_Great_Wall-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/59/36/9d/caption.jpg?w=500&h=400&s=1,Private Round-Trip transfer: Beijing hotels to Mutianyu Great Wall,241.,https://www.tripadvisor.com/Attraction_Review-g294212-d3680609-Reviews-Discover_Beijing_Tours-Beijing.html,,6+ hours,Having a private vehicle for a memorable trip to the Great Wall at an extraordinarily good price! You will have maximum …,Free cancellation,,,from,$62.00,per adult,More info
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Trippest Mini Group Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11463425-Full_Day_Beijing_City_Tour_Hutongs_Lama_Temple_and_Panda_House-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11463425-Full_Day_Beijing_City_Tour_Hutongs_Lama_Temple_and_Panda_House-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/5a/2c/caption.jpg?w=500&h=400&s=1,"Full-Day Beijing City Tour: Hutongs, Lama Temple and Panda House",242.,https://www.tripadvisor.com/Attraction_Review-g294212-d4006739-Reviews-The_Trippest_Mini_Group_Tours-Beijing.html,Bus Tours,6+ hours,"In this full-day tour, you will explore the ancient capital of Beijing both old and new, see cuddly giant pandas at Panda…",Free cancellation,,,from,$168.54,per adult,More info
16,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Catherine Lu Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d13215888-Private_Jingshanling_Great_Wall_Tour_including_Lunch-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d13215888-Private_Jingshanling_Great_Wall_Tour_including_Lunch-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d4/3c/6d/caption.jpg?w=500&h=400&s=1,Private Jingshanling Great Wall Tour including Lunch,243.,https://www.tripadvisor.com/Attraction_Review-g294212-d1799850-Reviews-Catherine_Lu_Tours-Beijing.html,Full-day Tours,6+ hours,"To avoid the crowd Great Wall in Beijing, you will visit Jinshanling Great Wall for the full day tour. Accompanied by your…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$199.47,per adult,More info
48,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,"By Beijing Downtown Travel Service Co., Ltd.",https://www.tripadvisor.com/AttractionProductReview-g294212-d13454198-Group_Mutianyu_Great_Wall_one_day_tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d13454198-Group_Mutianyu_Great_Wall_one_day_tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6b/90/3b/caption.jpg?w=500&h=400&s=1,Group - Mutianyu Great Wall one-day tour,244.,https://www.tripadvisor.com/Attraction_Review-g294212-d8384792-Reviews-Beijing_Downtown_Travel_Service_Co_Ltd-Beijing.html,,6+ hours,"Much more tranquil and less crowded than Badaling Great Wall, Mutianyu is both magnificent and tranquil. Soak in the scenery…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$49.21,per adult,More info
7,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Layover Tour,https://www.tripadvisor.com/AttractionProductReview-g294212-d17577136-Mutianyu_Great_Wall_Forbidden_City_Private_Guided_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d17577136-Mutianyu_Great_Wall_Forbidden_City_Private_Guided_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/55/e7/32/caption.jpg?w=500&h=400&s=1,Mutianyu Great Wall & Forbidden City Private Guided Tour,245.,https://www.tripadvisor.com/Attraction_Review-g294212-d10264740-Reviews-Beijing_Layover_Tour-Beijing.html,Full-day Tours,10–12 hours,"We supply a professional driver and a car with licence as well as a professional English speaking licensed tour guide, both…",Free cancellation,,,from,$180.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Tour Guide,,https://www.tripadvisor.com/AttractionProductReview-g294212-d11485857-Beijing_Capital_International_Airport_One_Way_Transfer_Service_Airport_to_Hotel-Be.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/cc/2e/0b/caption.jpg?w=500&h=400&s=1,Beijing Capital International Airport One Way Transfer Service: Airport to Hotel,246.,https://www.tripadvisor.com/Attraction_Review-g294212-d3138665-Reviews-Beijing_Tour_Guide-Beijing.html,,1–2 hours,"Are you worried about how to get to your hotel from Beijing International Airport?

This professional airport transfer service…",Free cancellation,,,from,$35.00,per adult,More info
2,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Tour Guide,https://www.tripadvisor.com/AttractionProductReview-g294212-d12901972-Simatai_Great_Wall_and_Gubei_Water_Town_Trip_with_English_speaking_driver-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12901972-Simatai_Great_Wall_and_Gubei_Water_Town_Trip_with_English_speaking_driver-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/8e/15/caption.jpg?w=500&h=400&s=1,Simatai Great Wall and Gubei Water Town Trip with English speaking driver,247.,https://www.tripadvisor.com/Attraction_Review-g294212-d3138665-Reviews-Beijing_Tour_Guide-Beijing.html,Full-day Tours,6+ hours,Enjoy a self-guided tour on a comfortably-paced private day trip to Simatai Great Wall and Gubei Water Town with your English…,Free cancellation,,,from,$168.00,per adult,More info
1,Free Cancellation up to 3 days in advance,By ChinaTravelDepot,https://www.tripadvisor.com/AttractionProductReview-g294212-d12463555-Private_Tour_Great_Wall_of_China_at_Juyongguan_and_Ming_Tombs_from_Beijing-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12463555-Private_Tour_Great_Wall_of_China_at_Juyongguan_and_Ming_Tombs_from_Beijing-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/53/f4/08/caption.jpg?w=500&h=400&s=1,Private Tour: Great Wall of China at Juyongguan and Ming Tombs from Beijing,248.,https://www.tripadvisor.com/Attraction_Review-g294212-d21396591-Reviews-ChinaTravelDepot-Beijing.html,Full-day Tours,6+ hours,See the best of China’s ancient civilization on this private full-day trip from Beijing to the Great Wall of China and the…,Free cancellation,,,from,$193.07,per adult,More info
6,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Unique Beijing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d13009372-Early_Bird_Beijing_Dim_Sum_Breakfast_with_Lama_Temple_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d13009372-Early_Bird_Beijing_Dim_Sum_Breakfast_with_Lama_Temple_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/bf/db/79/caption.jpg?w=500&h=400&s=1,Early Bird Beijing Dim Sum Breakfast with Lama Temple Tour,249.,https://www.tripadvisor.com/Attraction_Review-g294212-d8051374-Reviews-Unique_Beijing_Tours-Beijing.html,Public Transportation Tours,4 hours,This 4-hour morning tour combine eating and sightseeing.Start your day with a delicious Dim Sum in the local nice restaurant…,Free cancellation,,,from,$99.00,per adult,More info
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Leo’s Guide & Driver Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d16808155-Summer_Palace_and_Temple_Of_Heaven_Private_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d16808155-Summer_Palace_and_Temple_Of_Heaven_Private_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/55/ff/96/caption.jpg?w=500&h=400&s=1,Summer Palace and Temple Of Heaven Private Tour,250.,https://www.tripadvisor.com/Attraction_Review-g294212-d6419006-Reviews-Leo_s_Guide_Driver_Service-Beijing.html,Bus Tours,6–8 hours,"Make the most of city sightseeing on this private tour of Beijing, which include must-see attractions Summer palace and …",Free cancellation,,,from,$162.00,per adult,More info
3,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Discover Beijing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11457517-Private_Arrival_Transfer_from_Beijing_Airport_to_Hotel-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11457517-Private_Arrival_Transfer_from_Beijing_Airport_to_Hotel-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/12/01/70/caption.jpg?w=500&h=400&s=1,Private Arrival Transfer from Beijing Airport to Hotel,251.,https://www.tripadvisor.com/Attraction_Review-g294212-d3680609-Reviews-Discover_Beijing_Tours-Beijing.html,,1 hour,Avoid the stress of public transportation by booking this Beijing airport transfer before you arrive! Travel from the Capital…,Free cancellation,,,from,$32.00,per adult,More info
5,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Mr Orange Transfers & Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d15059375-Skip_The_Line_VIP_Forbidden_city_Mutianyu_Great_wall_hiking_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d15059375-Skip_The_Line_VIP_Forbidden_city_Mutianyu_Great_wall_hiking_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2e/18/8e/caption.jpg?w=500&h=400&s=1,Skip-The-Line VIP Forbidden city & Mutianyu Great wall hiking Tour,252.,https://www.tripadvisor.com/Attraction_Review-g294212-d12110584-Reviews-Mr_Orange_Transfers_Tours-Beijing.html,,6+ hours,"Tour the 

Forbidden City up-close and intimately. Explore 

Tiananmen Square like a local.  Experience the world’s most…",Free cancellation,,,from,$129.00,per adult,More info
3,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Trippest Mini Group Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11459333-Badaling_Great_Wall_and_Ming_Tombs_Day_Tour_from_Beijing-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11459333-Badaling_Great_Wall_and_Ming_Tombs_Day_Tour_from_Beijing-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ab/45/caption.jpg?w=500&h=400&s=1,Badaling Great Wall and Ming Tombs Day Tour from Beijing,253.,https://www.tripadvisor.com/Attraction_Review-g294212-d4006739-Reviews-The_Trippest_Mini_Group_Tours-Beijing.html,Full-day Tours,6+ hours,"On this guided day trip from Beijing, you will see China’s symbol: the Great Wall and Ming Tombs. The Ming Tombs are the…",Free cancellation,,,from,$192.00,per adult,More info
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By ChinaSeeing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d13947075-Visa_free_Layover_Tour_to_Mutianyu_Great_Wall_from_Beijing_Airport-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d13947075-Visa_free_Layover_Tour_to_Mutianyu_Great_Wall_from_Beijing_Airport-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6c/80/33/caption.jpg?w=500&h=400&s=1,Visa-free Layover Tour to Mutianyu Great Wall from Beijing Airport,254.,https://www.tripadvisor.com/Attraction_Review-g294212-d10486752-Reviews-ChinaSeeing_Tours-Beijing.html,Full-day Tours,7–9 hours,"Pick-up and drop-off service from the Beijing Capital International Airport. 

Visa-free layover tour to Mutianyu Great …",Free cancellation,,,from,$144.00,per adult,More info
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Jenny's Guide & Driver Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d15068216-5_7_hours_Layover_Tour_to_Mutianyu_Great_Wall-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d15068216-5_7_hours_Layover_Tour_to_Mutianyu_Great_Wall-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/a2/76/caption.jpg?w=500&h=400&s=1,5-7 hours Layover Tour to Mutianyu Great Wall,255.,https://www.tripadvisor.com/Attraction_Review-g294212-d8046834-Reviews-Jenny_s_Guide_Driver_Service-Beijing.html,Bus Tours,5–7 hours,At Beijing airport be met by our private guide and driver. Take about 1 hour’s drive from Beijing Airport to Mutianyu Great…,Free cancellation,,,from,$126.67,per adult,More info
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Lily's Beijing Tour Guide & Car Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d11476850-Private_Day_Tour_to_Tiananmen_Square_Forbidden_City_and_Hutong_by_Public_Transport.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11476850-Private_Day_Tour_to_Tiananmen_Square_Forbidden_City_and_Hutong_by_Public_Transport.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/61/21/b1/caption.jpg?w=500&h=400&s=1,"Private Day Tour to Tiananmen Square, Forbidden City and Hutong by Public Transportation",256.,https://www.tripadvisor.com/Attraction_Review-g294212-d5773897-Reviews-Lily_s_Beijing_Tour_Guide_Car_Service-Beijing.html,Public Transportation Tours,6 hours,"This 6 hours tour will take you to explore the culture heritages by Beijing's public transportation, such as subway and …",Free cancellation,,,from,$119.00,per adult,More info
3,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing ABC-Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d17539725-All_Inclusive_Mutianyu_Great_Wall_and_Summer_Palace_Private_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d17539725-All_Inclusive_Mutianyu_Great_Wall_and_Summer_Palace_Private_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7f/79/8d/caption.jpg?w=500&h=400&s=1,All-Inclusive Mutianyu Great Wall and Summer Palace Private Tour,257.,https://www.tripadvisor.com/Attraction_Review-g294212-d15592583-Reviews-Beijing_ABC_Tours-Beijing.html,Full-day Tours,6+ hours,Leave the crowds behind and visit the serene and beautiful Mutianyu portion of the Great Wall of China. Our knowledgable…,Free cancellation,,,from,$198.34,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Discover Beijing Tours,,https://www.tripadvisor.com/AttractionProductReview-g294212-d11459625-Departure_Private_Transfer_Beijing_to_Airport-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/23/d7/caption.jpg?w=500&h=400&s=1,Departure Private Transfer: Beijing to Airport,258.,https://www.tripadvisor.com/Attraction_Review-g294212-d3680609-Reviews-Discover_Beijing_Tours-Beijing.html,,1 hour,Don't wait in the queue for a taxi or battle unfamiliar streets to make it to the Beijing airport in time for your flight…,Free cancellation,,,from,$30.00,per adult,More info
8,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By ChinaSeeing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d17617961-Skip_the_Line_Beijing_Forbidden_City_Entrance_Ticket_and_Audio_Guide-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d17617961-Skip_the_Line_Beijing_Forbidden_City_Entrance_Ticket_and_Audio_Guide-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/69/a8/2f/caption.jpg?w=500&h=400&s=1,Skip the Line: Beijing Forbidden City Entrance Ticket and Audio Guide,259.,https://www.tripadvisor.com/Attraction_Review-g294212-d10486752-Reviews-ChinaSeeing_Tours-Beijing.html,Ancient Ruins,6+ hours,"The Palace Museum, popularly known as the Forbidden City, located in the central heart of Beijing as one of the world's …",Free cancellation,,,from,$13.00,per adult,More info
13,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Trippest Mini Group Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11459335-Beijing_Highlights_Tour_Tian_anmen_Square_Forbidden_City_Mutianyu_Great_Wall-Beiji.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11459335-Beijing_Highlights_Tour_Tian_anmen_Square_Forbidden_City_Mutianyu_Great_Wall-Beiji.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/98/1b/6a/caption.jpg?w=500&h=400&s=1,"Beijing Highlights Tour: Tian'anmen Square, Forbidden City, Mutianyu Great Wall",260.,https://www.tripadvisor.com/Attraction_Review-g294212-d4006739-Reviews-The_Trippest_Mini_Group_Tours-Beijing.html,Full-day Tours,6+ hours,This is the perfect trip for first-time-to-Beijing visitors who want a cultural insight into the city's history and traditions…,Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$187.59,per adult,More info
14,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Airport Layover Tour,https://www.tripadvisor.com/AttractionProductReview-g294212-d14131940-Private_Layover_trip_to_Mutianyu_Great_Wall_By_English_Driver-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d14131940-Private_Layover_trip_to_Mutianyu_Great_Wall_By_English_Driver-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/ac/1d/caption.jpg?w=500&h=400&s=1,Private Layover trip to Mutianyu Great Wall By English Driver,261.,https://www.tripadvisor.com/Attraction_Review-g294212-d8786843-Reviews-Beijing_Airport_Layover_Tour-Beijing.html,Bus Tours,5–8 hours,"If you have more than 7 hours layover time in Beijing , Don't just stay in the airport, sitting on the cold chairs,playing…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$90.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By China Theme Tour Beijing,,https://www.tripadvisor.com/AttractionProductReview-g294212-d12469382-One_Day_Group_Tour_of_Jinshanling_Great_Wall_Hiking_in_Beijing-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/bf/b9/caption.jpg?w=500&h=400&s=1,One Day Group Tour of Jinshanling Great Wall Hiking in Beijing,262.,https://www.tripadvisor.com/Attraction_Review-g294212-d19942816-Reviews-China_Theme_Tour_Beijing-Beijing.html,Full-day Tours,9–10 hours,"Jinshanling Great Wall connects the Simatai Great Wall section in the east and Gubeikou Section in the west, it is the most…",Free cancellation,,,from,$94.67,per adult,More info
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Driver Guide Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d13271360-Beijing_Layover_Private_Transfer_Mutianyu_Great_Wall_and_Beijing_City_Attractions-.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d13271360-Beijing_Layover_Private_Transfer_Mutianyu_Great_Wall_and_Beijing_City_Attractions-.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/cc/b2/caption.jpg?w=500&h=400&s=1,Beijing Layover Private Transfer: Mutianyu Great Wall and Beijing City Attractions,263.,https://www.tripadvisor.com/Attraction_Review-g294212-d3454760-Reviews-Beijing_Driver_Guide_Service-Beijing.html,Bus Tours,6–9 hours,Take this comfortable layover transfer service which takes you to the Mutianyu Great Wall and Beijing City Attractions based…,Free cancellation,,,from,$94.00,per adult,More info
9,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Sunflower Tours China,https://www.tripadvisor.com/AttractionProductReview-g294212-d13989005-Forbidden_City_Temple_of_Heaven_and_Summer_Palace_Private_Day_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d13989005-Forbidden_City_Temple_of_Heaven_and_Summer_Palace_Private_Day_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/18/b5/caption.jpg?w=500&h=400&s=1,"Forbidden City, Temple of Heaven and Summer Palace Private Day Tour",264.,https://www.tripadvisor.com/Attraction_Review-g294212-d3164061-Reviews-Sunflower_Tours_China-Beijing.html,Full-day Tours,6+ hours,"Tick the best of Beijing off your bucket list in the comfort of a privately guided tour. From the Temple of Heaven, Tienanmen…",Free cancellation,,,from,$168.00,per adult,More info
3,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Tour Guide,https://www.tripadvisor.com/AttractionProductReview-g294212-d15411345-Private_Round_Trip_Transfer_to_Nanshan_Jundushan_or_Huaibei_Ski_Resort_from_Beijin.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d15411345-Private_Round_Trip_Transfer_to_Nanshan_Jundushan_or_Huaibei_Ski_Resort_from_Beijin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/06/69/caption.jpg?w=500&h=400&s=1,"Private Round Trip Transfer to Nanshan, Jundushan or Huaibei Ski Resort from Beijing",265.,https://www.tripadvisor.com/Attraction_Review-g294212-d3138665-Reviews-Beijing_Tour_Guide-Beijing.html,,7–8 hours,Travelled with a friendly driver in a comfortable private vehicle. Your driver will pick you up from your downtown hotel…,Free cancellation,,,from,$80.00,per adult,More info
2,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Trippest Mini Group Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d14166937-Beijing_Forbidden_City_Entrance_Ticket_with_Optional_Guided_Service-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d14166937-Beijing_Forbidden_City_Entrance_Ticket_with_Optional_Guided_Service-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/59/cd/d7/caption.jpg?w=500&h=400&s=1,Beijing Forbidden City Entrance Ticket (with Optional Guided Service),266.,https://www.tripadvisor.com/Attraction_Review-g294212-d4006739-Reviews-The_Trippest_Mini_Group_Tours-Beijing.html,Skip-the-Line Tours,3 hours,"As a UNESCO World Heritage site and the symbol of ancient China, the Forbidden City (officially called the Palace Museum…",Free cancellation,,,from,$12.00,per adult,More info
