WlYyy,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,WlYyy 4,ySnDE,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7,WlYyy 8
4,By Hong Kong a la Carte : Private and Bespoke Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d17405227-Private_custom_tour_of_Hong_Kong_3_hours-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d17405227-Private_custom_tour_of_Hong_Kong_3_hours-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ce/f7/65/caption.jpg?w=500&h=400&s=1,Private custom tour of Hong Kong - 3 hours,166.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Rail Tours,3 hours,Taking safety measures,"Whether a first timer or a returning traveller to Hong Kong, this 3-hour private interactive walking tour provides fascinating…",from,$166.45,per adult,More info,Free cancellation
4,By Ho Ho Go Experience Limited,https://www.tripadvisor.com/AttractionProductReview-g294217-d12577493-Cultural_Playground-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d12577493-Cultural_Playground-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d1/45/df/caption.jpg?w=500&h=400&s=1,Cultural Playground,167.,https://www.tripadvisor.com/Attraction_Review-g294217-d7010303-Reviews-Ho_Ho_Go_Experience_Limited-Hong_Kong.html,Walking Tours,2 hours,Taking safety measures,A walking tour to discover the unknown side of Yau Ma Tei. Follow the footsteps of the indigenous cultural fans to explore…,from,$53.26,per adult,More info,
4,By Hong Kong a la Carte : Private and Bespoke Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d15580789-Private_tour_of_Hong_Kong_customized_Half_day-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15580789-Private_tour_of_Hong_Kong_customized_Half_day-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9e/58/f4/caption.jpg?w=500&h=400&s=1,Private tour of Hong Kong - customized Half day,168.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Public Transportation Tours,4–5 hours,Taking safety measures,"Whether a first timer or a return traveller, your private guide will custom-make this walking tour to your interests, time…",from,$210.25,per adult,More info,Free cancellation
4,By Tour East Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d16796503-Lamma_Island_Fishermen_Experience_Tour_with_Lunch-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d16796503-Lamma_Island_Fishermen_Experience_Tour_with_Lunch-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/ed/1b/caption.jpg?w=500&h=400&s=1,Lamma Island - Fishermen Experience Tour with Lunch,169.,https://www.tripadvisor.com/Attraction_Review-g294217-d16835511-Reviews-Tour_East_Hong_Kong-Hong_Kong.html,Lunch Cruises,4 hours,Taking safety measures,"Discover the history and culture of the local fishermen of Hong Kong by exploring Island South and Lamma Island.

Accompanied…",from,$108.67,per adult,More info,Free cancellation
3,By Point Links,https://www.tripadvisor.com/AttractionProductReview-g294217-d21076338-Private_Hong_Kong_International_Airport_Tesla_Transfer_From_To_HKG-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d21076338-Private_Hong_Kong_International_Airport_Tesla_Transfer_From_To_HKG-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/7e/66/33/caption.jpg?w=500&h=400&s=1,Private Hong Kong International Airport Tesla Transfer (From/ To HKG),170.,https://www.tripadvisor.com/Attraction_Review-g294217-d19823032-Reviews-Point_Links-Hong_Kong.html,,30–90 minutes,Taking safety measures,"With our immaculately trained drivers, you can enjoy a smooth and private Tesla airport transfer.

Our drivers are constantly…",from,$102.50,per group,More info,Free cancellation
3,By Hong Kong a la Carte : Private and Bespoke Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d15534303-Private_tour_Hong_Kong_s_major_sites_and_history-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15534303-Private_tour_Hong_Kong_s_major_sites_and_history-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ce/f8/e6/caption.jpg?w=500&h=400&s=1,Private tour - Hong Kong's major sites and history,171.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Public Transportation Tours,6–8 hours,Taking safety measures,"Whether a first timer or a returning traveller to Hong Kong, this 6-hour private interactive tour provides fascinating insights…",from,$278.58,per adult,More info,Free cancellation
3,By Hong Kong a la Carte : Private and Bespoke Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d15045153-Private_tour_Lantau_Island_Big_buddha_and_Tai_O_Village-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15045153-Private_tour_Lantau_Island_Big_buddha_and_Tai_O_Village-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/be/bc/8f/caption.jpg?w=500&h=400&s=1,Private tour Lantau Island - Big buddha and Tai O Village,172.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Cable Car Tours,6–8 hours,Taking safety measures,"Whether a first timer or a returning traveller to Hong Kong, this 7-hour private interactive tour provides fascinating insights…",from,$318.93,per adult,More info,Free cancellation
3,By Hong Kong Getaway Private Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d19149470-Full_Package_Lantau_Island_Private_Car_or_Public_Transportation-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d19149470-Full_Package_Lantau_Island_Private_Car_or_Public_Transportation-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/b6/9a/caption.jpg?w=500&h=400&s=1,Full Package Lantau Island (Private Car or Public Transportation),173.,https://www.tripadvisor.com/Attraction_Review-g294217-d7602441-Reviews-Hong_Kong_Getaway_Private_Tours-Hong_Kong.html,Cable Car Tours,6 hours,Free cancellation,"In this full package Lantau Island tour, your tour guide Mandy or Apple will take you to see all of the must-see attractions…",from,$352.22,per adult,More info,
3,By Hong Kong Foodie Tasting Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d17829642-Hong_Kong_Local_Craft_Beer_Tour-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d17829642-Hong_Kong_Local_Craft_Beer_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/86/27/98/caption.jpg?w=500&h=400&s=1,Hong Kong Local Craft Beer Tour,174.,https://www.tripadvisor.com/Attraction_Review-g294217-d2535511-Reviews-Hong_Kong_Foodie_Tasting_Tours-Hong_Kong.html,Bus Tours,4 hours,,Hop on the brew bus for a behind-the-scenes look at the vibrant Hong Kong craft beer movement. As we take you through revitalized…,from,$122.21,per adult,More info,
3,By City Unscripted Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d12561917-100_Private_Personalised_Tour_of_Hong_Kong_With_A_Local_Insider-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d12561917-100_Private_Personalised_Tour_of_Hong_Kong_With_A_Local_Insider-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7a/c8/d4/caption.jpg?w=500&h=400&s=1,100% Private & Personalised Tour of Hong Kong With A Local Insider,175.,https://www.tripadvisor.com/Attraction_Review-g294217-d13812674-Reviews-City_Unscripted_Hong_Kong-Hong_Kong.html,Viator Private Guides,2 hours,Taking safety measures,Book a local Hong Konger  for a personalised exploration of the city. Your local host will build the best experience for…,from,$69.21,per adult,More info,Free cancellation
3,"By Tai Kwun - Centre for Heritage and Arts, 10 Hollywood Rd, Central, Hong Kong",https://www.tripadvisor.com/AttractionProductReview-g294217-d14943015-Hong_Kong_Like_a_Local_Customized_Private_Tour-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d14943015-Hong_Kong_Like_a_Local_Customized_Private_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7b/e0/c4/caption.jpg?w=500&h=400&s=1,Hong Kong Like a Local: Customized Private Tour,176.,https://www.tripadvisor.com/Attraction_Review-g294217-d21317735-Reviews-Tai_Kwun_Centre_for_Heritage_and_Arts_10_Hollywood_Rd_Central_Hong_Kong-Hong_Kon.html,City Tours,2–6 hours,Taking safety measures,"Get to know the city through the eyes of a passionate local. With no set itinerary, you can customize the tour or leave …",from,$45.00,per adult,More info,Free cancellation
2,By Hong Kong Free Walking Tour,https://www.tripadvisor.com/AttractionProductReview-g294217-d19147799-Hong_Kong_City_Tour-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d19147799-Hong_Kong_City_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cf/c0/aa/caption.jpg?w=500&h=400&s=1,Hong Kong City Tour,177.,https://www.tripadvisor.com/Attraction_Review-g294217-d14111757-Reviews-Hong_Kong_Free_Walking_Tour-Hong_Kong.html,Private and Luxury,3–4 hours,Taking safety measures,"The tour route is the tourism authority recommended route. 

On this relaxing city walk (1k+ booked), we not only show you…",from,$57.16,per adult,More info,Free cancellation
2,By Hong Kong a la Carte : Private and Bespoke Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d15055322-Custom_private_tour_of_Kowloon_Peninsula_Half_day-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15055322-Custom_private_tour_of_Kowloon_Peninsula_Half_day-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8c/db/2a/caption.jpg?w=500&h=400&s=1,Custom private tour of Kowloon Peninsula - Half day,178.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Public Transportation Tours,4–5 hours,Taking safety measures,"Whether a first timer or a returning traveller to Hong Kong, this 3 to 4 hour private interactive tour provides fascinating…",from,$161.19,per adult,More info,Free cancellation
2,By Smooth Ride Bike Tours Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d13181944-Private_Full_Day_Countryside_Bike_Tour_in_Hong_Kong-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d13181944-Private_Full_Day_Countryside_Bike_Tour_in_Hong_Kong-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/e1/ee/caption.jpg?w=500&h=400&s=1,Private Full-Day Countryside Bike Tour in Hong Kong,179.,https://www.tripadvisor.com/Attraction_Review-g294217-d11963834-Reviews-Smooth_Ride_Bike_Tours_Hong_Kong-Hong_Kong.html,Bike Tours,6 hours,Free cancellation,"Cycle through the beautiful bays and valleys of North Lantau, with a 7-hour guided bicycle tour. Stop at Inspiration Lake…",from,$252.30,per adult,More info,
2,By City Unscripted Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d14019314-Hong_Kong_s_Trendiest_Neighbourhood_Sheung_Wan-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d14019314-Hong_Kong_s_Trendiest_Neighbourhood_Sheung_Wan-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/af/ff/ed/caption.jpg?w=500&h=400&s=1,Hong Kong's Trendiest Neighbourhood Sheung Wan,180.,https://www.tripadvisor.com/Attraction_Review-g294217-d13812674-Reviews-City_Unscripted_Hong_Kong-Hong_Kong.html,Walking Tours,3 hours,Taking safety measures,"Hong Kong is an exciting and intoxicating blend of cultures, cuisines and traditions, and there’s no better neighbourhood…",from,$83.06,per adult,More info,Free cancellation
1,,,,,,,,6,5,7,,,,,,
447 places sorted by traveler favorites,Clear all filters,https://www.tripadvisor.com/ClientLink?value=SGhVXy9BdHRyYWN0aW9ucy1nMjk0MjE3LUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLUhvbmdfS29uZy5odG1sX0FuWA%3D%3D,,,,,,,,,,,,,,
2,By Wild Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d11461536-Ma_On_Shan_Climbing_Adventure-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d11461536-Ma_On_Shan_Climbing_Adventure-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/ec/55/caption.jpg?w=500&h=400&s=1,Ma On Shan Climbing Adventure,181.,https://www.tripadvisor.com/Attraction_Review-g294217-d7928325-Reviews-Wild_Hong_Kong-Hong_Kong.html,,6 hours,Taking safety measures,Conquer the highest peak in eastern Hong Kong on a hiking tour with a guide. You'll discover Ma On Shan (Saddle Peak) and…,from,$118.38,per adult,More info,
2,By Hong Kong a la Carte : Private and Bespoke Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d15593413-Private_custom_layover_tour_of_Hong_Kong_8_hours-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15593413-Private_custom_layover_tour_of_Hong_Kong_8_hours-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ce/f9/38/caption.jpg?w=500&h=400&s=1,Private custom layover tour of Hong Kong - 8 hours,182.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Full-day Tours,7–8 hours,Taking safety measures,"Instead of staying at the airport, why not make the most of your Hong Kong layover? This 8-hour private tour will show you…",from,$332.90,per adult,More info,Free cancellation
2,By Hong Kong a la Carte : Private and Bespoke Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d15593414-Private_tour_of_Hong_Kong_customized_layover_5_hours-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15593414-Private_tour_of_Hong_Kong_customized_layover_5_hours-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/be/cc/35/caption.jpg?w=500&h=400&s=1,Private tour of Hong Kong - customized layover - 5 hours,183.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Public Transportation Tours,4–5 hours,Taking safety measures,"Instead of staying at the airport, why not make the most of your Hong Kong layover? This 5-hour private tour will show you…",from,$250.55,per adult,More info,Free cancellation
2,By Hong Kong Getaway Private Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d19252881-New_Territories_Insider_Excursion_Tailor_made_Private-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d19252881-New_Territories_Insider_Excursion_Tailor_made_Private-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/59/73/1b/caption.jpg?w=500&h=400&s=1,New Territories Insider Excursion (Tailor-made & Private),184.,https://www.tripadvisor.com/Attraction_Review-g294217-d7602441-Reviews-Hong_Kong_Getaway_Private_Tours-Hong_Kong.html,Public Transportation Tours,6 hours,Free cancellation,"In this tour, our founders Mandy or Apple will take you to the New Territories, where they were born and raised. Most visitors…",from,$311.26,per adult,More info,
2,,https://www.tripadvisor.com/AttractionProductReview-g294217-d19107631-Luxury_Gateway_Limousine_Service_Limited-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d19107631-Luxury_Gateway_Limousine_Service_Limited-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/59/73/1e/caption.jpg?w=500&h=400&s=1,Luxury Gateway Limousine Service Limited,185.,,,30–60 minutes,Free cancellation,We are the Hong Kong limousine company named Luxury gateway service limited. Was already have the Hong Kong government hire…,from,$140.17,per group,More info,
2,By Hong Kong a la Carte : Private and Bespoke Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d15593410-Private_custom_layover_tour_Big_Buddha_and_Tai_O_8_hours-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15593410-Private_custom_layover_tour_Big_Buddha_and_Tai_O_8_hours-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ce/f6/74/caption.jpg?w=500&h=400&s=1,Private custom layover tour - Big Buddha and Tai O - 8 hours,186.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Full-day Tours,7–8 hours,Free cancellation,"Instead of staying at the airport, why not make the most of your Hong Kong layover to visit the nearby and world famous …",from,$310.12,per adult,More info,
3,By Hong Kong a la Carte : Private and Bespoke Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d15580788-Private_tour_introduction_to_local_superstitions_and_beliefs-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15580788-Private_tour_introduction_to_local_superstitions_and_beliefs-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/e4/62/caption.jpg?w=500&h=400&s=1,Private tour - introduction to local superstitions and beliefs,187.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Public Transportation Tours,3–4 hours,Taking safety measures,"Whether a first timer or a returning traveller to Hong Kong, this 4 to 5-hour private interactive tour provides fascinating…",from,$194.48,per adult,More info,Free cancellation
2,By Wild Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d11445954-Tai_Mo_Shan_Waterfall_Adventure_Hike-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d11445954-Tai_Mo_Shan_Waterfall_Adventure_Hike-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/ec/65/caption.jpg?w=500&h=400&s=1,Tai Mo Shan Waterfall Adventure Hike,188.,https://www.tripadvisor.com/Attraction_Review-g294217-d7928325-Reviews-Wild_Hong_Kong-Hong_Kong.html,,5 hours,Taking safety measures,"Nestled within dense jungle on the breathtaking slopes of Tai Mo Shan Mountain, lie the Ng Tung Chai Waterfalls. A series…",from,$101.64,per adult,More info,
2,By This Is Asia Private Tours-Day Tour,https://www.tripadvisor.com/AttractionProductReview-g294217-d13969007-Private_Customized_Macau_Day_Tour_from_Hong_Kong-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d13969007-Private_Customized_Macau_Day_Tour_from_Hong_Kong-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/57/41/caption.jpg?w=500&h=400&s=1,Private Customized Macau Day Tour from Hong Kong,189.,https://www.tripadvisor.com/Attraction_Review-g294217-d2664066-Reviews-This_Is_Asia_Private_Tours_Day_Tour-Hong_Kong.html,Full-day Tours,6+ hours,,"Extend and enhance your sightseeing experience of Hong Kong by designing your own itinerary on this private, full-day Macau…",from,$692.80,per adult,More info,
1,By Isabella Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d16796214-Hong_Kong_Language_Hangout_Learn-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d16796214-Hong_Kong_Language_Hangout_Learn-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/e9/3f/caption.jpg?w=500&h=400&s=1,Hong Kong Language Hangout & Learn,190.,https://www.tripadvisor.com/Attraction_Review-g294217-d17543519-Reviews-Isabella_Kong-Hong_Kong.html,Mandarin Lessons,1–2 hours,Free cancellation,"Hi, I am a native Cantonese professional tutor and a personal consultant. I started this activity for foreigners in town…",from,$34.17,per adult,More info,
1,By Big Foot Tour,https://www.tripadvisor.com/AttractionProductReview-g294217-d15340586-4_hour_Small_Group_Happy_Go_Lucky_Hong_Kong_Tour-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15340586-4_hour_Small_Group_Happy_Go_Lucky_Hong_Kong_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ce/f6/d3/caption.jpg?w=500&h=400&s=1,4-hour Small-Group Happy Go Lucky Hong Kong Tour,191.,https://www.tripadvisor.com/Attraction_Review-g294217-d2197549-Reviews-Big_Foot_Tour-Hong_Kong.html,Public Transportation Tours,3–4 hours,,"Keen to discover Hong Kong’s quirky traditions? Spanning across Kowloon and Hong Kong Island, this walking tour introduces…",from,$69.91,per adult,More info,
1,By City Unscripted Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d15073133-Hong_Kong_Street_Art_Tour_with_a_Local_100_Personalized_Private-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15073133-Hong_Kong_Street_Art_Tour_with_a_Local_100_Personalized_Private-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/88/01/f9/caption.jpg?w=500&h=400&s=1,Hong Kong Street Art Tour with a Local: 100% Personalized & Private,192.,https://www.tripadvisor.com/Attraction_Review-g294217-d13812674-Reviews-City_Unscripted_Hong_Kong-Hong_Kong.html,City Tours,3 hours,Taking safety measures,"Together with our local host, you’ll explore Hong Kong’s internationally renowned street art scene. From commissioned pieces…",from,$83.06,per adult,More info,Free cancellation
1,By Ho Ho Go Experience Limited,https://www.tripadvisor.com/AttractionProductReview-g294217-d11473024-4_Hour_Small_Group_Kowloon_Sightseeing_Tour-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d11473024-4_Hour_Small_Group_Kowloon_Sightseeing_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cc/21/15/caption.jpg?w=500&h=400&s=1,4-Hour Small Group Kowloon Sightseeing Tour,193.,https://www.tripadvisor.com/Attraction_Review-g294217-d7010303-Reviews-Ho_Ho_Go_Experience_Limited-Hong_Kong.html,City Tours,4 hours,Taking safety measures,An extensive excursion to Kowloon Island (translated as Nine Dragons). This tour covers three districts in Kowloon to let…,from,$103.02,per adult,More info,
1,By This Is Asia Private Tours-Day Tour,https://www.tripadvisor.com/AttractionProductReview-g294217-d17064072-Hong_Kong_Private_Transfer_to_Macau_hotel_over_Bridge-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d17064072-Hong_Kong_Private_Transfer_to_Macau_hotel_over_Bridge-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/83/a4/caption.jpg?w=500&h=400&s=1,Hong Kong Private Transfer to Macau hotel over Bridge,194.,https://www.tripadvisor.com/Attraction_Review-g294217-d2664066-Reviews-This_Is_Asia_Private_Tours_Day_Tour-Hong_Kong.html,Ports of Call Tours,1 hour,Free cancellation,Stress free on your journey between Hong Kong and Macau with the newly built Hong Kong Zhuhai Macau Bridge. This famous …,from,$207.74,per adult,More info,
1,By City Unscripted Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d18274938-Kowloon_Night_Tour_with_a_Local_Private_100_Personalized-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d18274938-Kowloon_Night_Tour_with_a_Local_Private_100_Personalized-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/88/06/ec/caption.jpg?w=500&h=400&s=1,Kowloon Night Tour with a Local: Private & 100% Personalized,195.,https://www.tripadvisor.com/Attraction_Review-g294217-d13812674-Reviews-City_Unscripted_Hong_Kong-Hong_Kong.html,City Tours,4 hours,Taking safety measures,You’ll join one of our food loving hosts to explore Hong Kong's food culture in the heart of the colourful Kowloon neighborhood…,from,$146.73,per adult,More info,Free cancellation
1,By Hong Kong Free Walking Tour,https://www.tripadvisor.com/AttractionProductReview-g294217-d20825705-Hong_Kong_City_Tour_2021-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d20825705-Hong_Kong_City_Tour_2021-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4a/d7/04/caption.jpg?w=500&h=400&s=1,Hong Kong City Tour (2021),196.,https://www.tripadvisor.com/Attraction_Review-g294217-d14111757-Reviews-Hong_Kong_Free_Walking_Tour-Hong_Kong.html,Walking Tours,2–3 hours,Taking safety measures,"Service Guarantee (2021) - you can get a full refund, if you not satisfy the tours and raise up reasonable complaints. 

…",from,$16.82,per adult,More info,Free cancellation
1,By Big Foot Tour,https://www.tripadvisor.com/AttractionProductReview-g294217-d13837023-Small_Group_Walking_Tour_of_Hong_Kong_10_000_Buddhas_Monastery_Tai_Po_Market-Hong_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d13837023-Small_Group_Walking_Tour_of_Hong_Kong_10_000_Buddhas_Monastery_Tai_Po_Market-Hong_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ce/f7/08/caption.jpg?w=500&h=400&s=1,"Small-Group Walking Tour of Hong Kong 10,000 Buddhas Monastery & Tai Po Market",197.,https://www.tripadvisor.com/Attraction_Review-g294217-d2197549-Reviews-Big_Foot_Tour-Hong_Kong.html,Public Transportation Tours,4 hours,,"Go off the beaten path in this small-group 4-hour walking tour and discover the true spirit of Hong Kong! 

10,000 Buddhas…",from,$105.13,per adult,More info,
1,By Hong Kong Sightseeing by Keen Travel,https://www.tripadvisor.com/AttractionProductReview-g294217-d16810153-Hong_Kong_Private_Departure_Transfer_Hotel_to_Airport-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d16810153-Hong_Kong_Private_Departure_Transfer_Hotel_to_Airport-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/80/cb/cd/caption.jpg?w=500&h=400&s=1,Hong Kong Private Departure Transfer: Hotel to Airport,198.,https://www.tripadvisor.com/Attraction_Review-g294217-d16745523-Reviews-Hong_Kong_Sightseeing_by_Keen_Travel-Hong_Kong.html,,30–60 minutes,Taking safety measures,Sit back and relax as you enjoy a private transfer from Hotel in Hong Kong or in Kowloon to Hong Kong International Airport…,from,$68.99,per adult,More info,Free cancellation
1,By Ho Ho Go Experience Limited,https://www.tripadvisor.com/AttractionProductReview-g294217-d12961545-Our_Childhood_Historical_Housing_Estates_Tour-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d12961545-Our_Childhood_Historical_Housing_Estates_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cc/51/ac/caption.jpg?w=500&h=400&s=1,Our Childhood-Historical Housing Estates Tour,199.,https://www.tripadvisor.com/Attraction_Review-g294217-d7010303-Reviews-Ho_Ho_Go_Experience_Limited-Hong_Kong.html,Walking Tours,2 hours,Taking safety measures,"A two hours walking tour, visit two modern Hong Kong Housing Estates and a rural village located downtown showing guests…",from,$49.06,per adult,More info,
